,Names,Description
0,1. 2.4 GHZ Indoor Channel Measurements," Measurement of the S21,consists of 10 sweeps, each sweep contains 601 frequency points with spacing of 0.167MHz to cover a 100MHz band centered at 2.4GHz."
1,"2. 3D Road Network (North Jutland, Denmark)", 3D road network with highly accurate elevation information (+-20cm) from Denmark used in eco-routing and fuel/Co2-estimation routing algorithms.
2,3. 3W dataset, The first realistic and public dataset with rare undesirable real events in oil wells.
3,4. 9mers from cullpdb, Provide a short description of your data set (less than 200 characters).
4,5. , Simulated Data set of Iraqi tourism places
5,6. A study of Asian Religious and Biblical Texts," Mainly from Project Gutenberg, we combine Upanishads, Yoga Sutras, Buddha Sutras, Tao Te Ching and Book of Wisdom, Book of Proverbs, Book of Ecclesiastes and Book of Ecclesiasticus"
6,7. AAAI 2013 Accepted Papers," This data set compromises the metadata for the 2013 AAAI conference's accepted papers (main track only), including paper titles, abstracts, and keywords of varying granularity."
7,8. AAAI 2014 Accepted Papers," This data set compromises the metadata for the 2014 AAAI conference's accepted papers, including paper titles, authors, abstracts, and keywords of varying granularity."
8,9. Abalone, Predict the age of abalone from physical measurements
9,10. Abscisic Acid Signaling Network, The objective is to determine the set of boolean rules that describe the interactions of the nodes within this plant signaling network. The dataset includes 300 separate boolean pseudodynamic simulations using an asynchronous update scheme.
10,11. Absenteeism at work, The database was created with records of absenteeism at work from July 2007 to July 2010 at a courier company in Brazil.
11,12. Accelerometer," Accelerometer data from vibrations of a cooler fan with weights on its blades. It can be used for predictions, classification and other tasks that require vibration analysis, especially in engines."
12,13. Activities of Daily Living (ADLs) Recognition Using Binary Sensors, This dataset comprises information regarding the ADLs performed by two users on a daily basis in their own homes.
13,14. Activity Recognition from Single Chest-Mounted Accelerometer, The dataset collects data from a wearable accelerometer mounted on the chest. The dataset is intended for Activity Recognition research purposes.
14,15. Activity Recognition system based on Multisensor data fusion (AReM), This dataset contains temporal data from a Wireless Sensor Network worn by an actor performing the activities
15,16. Activity recognition using wearable physiological measurements," This dataset contains features from Electrocardiogram (ECG), Thoracic Electrical Bioimpedance (TEB) and the Electrodermal Activity (EDA) for activity recognition."
16,17. Activity recognition with healthy older people using a batteryless wearable sensor," Sequential motion data from 14 healthy older people aged 66 to 86 years old using a batteryless, wearable sensor on top of their clothing for the recognition of activities in clinical environments."
17,18. Acute Inflammations," The data was created by a medical expert as a data set to test the expert system, which will perform the presumptive diagnosis of two diseases of the urinary system."
18,19. Adult," Predict whether income exceeds $50K/yr based on census data. Also known as ""Census Income"" dataset."
19,20. AI4I 2020 Predictive Maintenance Dataset, The AI4I 2020 Predictive Maintenance Dataset is a synthetic dataset that reflects real predictive maintenance data encountered in industry.
