,Names,genre,rating,votes
0,1. Game of Thrones (2011–2019),"TV-MA | 57 min | Action, Adventure, Drama",8.6,"Votes: 245,425"
1,2. Stranger Things (2016– ),"TV-14 | 51 min | Drama, Fantasy, Horror",8.6,"Votes: 245,425"
2,3. The Walking Dead (2010–2022),"TV-MA | 44 min | Drama, Horror, Thriller",8.6,"Votes: 245,425"
3,4. 13 Reasons Why (2017–2020),"TV-MA | 60 min | Drama, Mystery, Thriller",8.6,"Votes: 245,425"
4,5. The 100 (2014–2020),"TV-14 | 43 min | Drama, Mystery, Sci-Fi",8.6,"Votes: 245,425"
5,6. Orange Is the New Black (2013–2019),"TV-MA | 59 min | Comedy, Crime, Drama",8.6,"Votes: 245,425"
6,7. Riverdale (2017– ),"TV-14 | 45 min | Crime, Drama, Mystery",8.6,"Votes: 245,425"
7,8. Grey's Anatomy (2005– ),"TV-14 | 41 min | Drama, Romance",8.6,"Votes: 245,425"
8,9. The Flash (2014–2023),"TV-PG | 43 min | Action, Adventure, Drama",8.6,"Votes: 245,425"
9,10. Arrow (2012–2020),"TV-14 | 42 min | Action, Adventure, Crime",8.6,"Votes: 245,425"
10,11. Money Heist (2017–2021),"TV-MA | 70 min | Action, Crime, Drama",8.6,"Votes: 245,425"
11,12. The Big Bang Theory (2007–2019),"TV-PG | 22 min | Comedy, Romance",8.6,"Votes: 245,425"
12,13. Black Mirror (2011–2019),"TV-MA | 60 min | Drama, Mystery, Sci-Fi",8.6,"Votes: 245,425"
13,14. Sherlock (2010–2017),"TV-14 | 88 min | Crime, Drama, Mystery",8.6,"Votes: 245,425"
14,15. Vikings (2013–2020),"TV-MA | 44 min | Action, Adventure, Drama",8.6,"Votes: 245,425"
15,16. Pretty Little Liars (2010–2017),"TV-14 | 44 min | Drama, Mystery, Romance",8.6,"Votes: 245,425"
16,17. The Vampire Diaries (2009–2017),"TV-14 | 43 min | Drama, Fantasy, Horror",8.6,"Votes: 245,425"
17,18. American Horror Story (2011– ),"TV-MA | 60 min | Drama, Horror, Sci-Fi",8.6,"Votes: 245,425"
18,19. Breaking Bad (2008–2013),"TV-MA | 49 min | Crime, Drama, Thriller",8.6,"Votes: 245,425"
19,20. Lucifer (2016–2021),"TV-14 | 42 min | Crime, Drama, Fantasy",8.6,"Votes: 245,425"
20,21. Supernatural (2005–2020),"TV-14 | 44 min | Drama, Fantasy, Horror",8.6,"Votes: 245,425"
21,22. Prison Break (2005–2017),"TV-14 | 44 min | Action, Crime, Drama",8.6,"Votes: 245,425"
22,23. How to Get Away with Murder (2014–2020),"TV-14 | 43 min | Crime, Drama, Mystery",8.6,"Votes: 245,425"
23,24. Teen Wolf (2011–2017),"TV-14 | 41 min | Action, Drama, Fantasy",8.6,"Votes: 245,425"
24,25. The Simpsons (1989– ),"TV-14 | 22 min | Animation, Comedy",8.6,"Votes: 245,425"
25,26. Once Upon a Time (2011–2018),"TV-PG | 60 min | Adventure, Fantasy, Romance",8.6,"Votes: 245,425"
26,27. Narcos (2015–2017),"TV-MA | 49 min | Biography, Crime, Drama",8.6,"Votes: 245,425"
27,28. Daredevil (2015–2018),"TV-MA | 54 min | Action, Crime, Drama",8.6,"Votes: 245,425"
28,29. Friends (1994–2004),"TV-14 | 22 min | Comedy, Romance",8.6,"Votes: 245,425"
29,30. How I Met Your Mother (2005–2014),"TV-14 | 22 min | Comedy, Romance",8.6,"Votes: 245,425"
30,31. Suits (2011–2019),"TV-14 | 44 min | Comedy, Drama",8.6,"Votes: 245,425"
