,ranks,songs,artist,upload dates,views
0,1.,"""Baby Shark Dance""",Pinkfong Baby Shark - Kids' Songs & Stories,"June 17, 2016",11.83
1,2.,"""Despacito""",Luis Fonsi,"January 12, 2017",8.02
2,3.,"""Johny Johny Yes Papa""",LooLoo Kids,"October 8, 2016",6.54
3,4.,"""Shape of You""",Ed Sheeran,"January 30, 2017",5.86
4,5.,"""Bath Song""",Cocomelon – Nursery Rhymes,"May 2, 2018",5.81
5,6.,"""See You Again""",Wiz Khalifa,"April 6, 2015",5.71
6,7.,"""Phonics Song with Two Words""",ChuChu TV,"March 6, 2014",5.04
7,8.,"""Uptown Funk""",Mark Ronson,"November 19, 2014",4.77
8,9.,"""Learning Colors – Colorful Eggs on a Farm""",Miroshka TV,"February 27, 2018",4.74
9,10.,"""Wheels on the Bus""",Cocomelon – Nursery Rhymes,"May 24, 2018",4.69
10,11.,"""Gangnam Style""",Psy,"July 15, 2012",4.62
11,12.,"""Masha and the Bear – Recipe for Disaster""",Get Movies,"January 31, 2012",4.52
12,13.,"""Dame Tu Cosita""",El Chombo,"April 5, 2018",4.15
13,14.,"""Sugar""",Maroon 5,"January 14, 2015",3.79
14,15.,"""Roar""",Katy Perry,"September 5, 2013",3.69
15,16.,"""Counting Stars""",OneRepublic,"May 31, 2013",3.69
16,17.,"""Axel F""",Crazy Frog,"June 16, 2009",3.63
17,18.,"""Sorry""",Justin Bieber,"October 22, 2015",3.61
18,19.,"""Thinking Out Loud""",Ed Sheeran,"October 7, 2014",3.52
19,20.,"""Baa Baa Black Sheep""",Cocomelon – Nursery Rhymes,"June 25, 2018",3.44
20,21.,"""Dark Horse""",Katy Perry,"February 20, 2014",3.40
21,22.,"""Faded""",Alan Walker,"December 3, 2015",3.38
22,23.,"""Girls Like You""",Maroon 5,"May 31, 2018",3.35
23,24.,"""Let Her Go""",Passenger,"July 25, 2012",3.35
24,25.,"""Waka Waka (This Time for Africa)""",Shakira,"June 4, 2010",3.34
25,26.,"""Perfect""",Ed Sheeran,"November 9, 2017",3.31
26,27.,"""Bailando""",Enrique Iglesias,"April 11, 2014",3.30
27,28.,"""Lean On""",Major Lazer,"March 22, 2015",3.29
28,29.,"""Humpty the train on a fruits ride""",Kiddiestv Hindi – Nursery Rhymes & Kids Songs,"January 26, 2018",3.24
29,30.,"""Shake It Off""",Taylor Swift,"August 18, 2014",3.23
